market,trade_date_utc,trade_time_utc,timestamp,trade_price,trade_volume,prev_closing_price,change_price,ask_bid,sequential_id
KRW-ETH,2024-03-19,15:11:18,1710861078557,4808000.0,0.01,5156000.0,-348000.0,ASK,17108610785570000
KRW-ETH,2024-03-19,15:11:15,1710861075678,4810000.0,0.09688534,5156000.0,-346000.0,BID,17108610756780000
KRW-ETH,2024-03-19,15:11:15,1710861075099,4807000.0,0.6445,5156000.0,-349000.0,ASK,17108610750990000
KRW-ETH,2024-03-19,15:11:14,1710861074183,4810000.0,0.04158004,5156000.0,-346000.0,BID,17108610741830000
KRW-ETH,2024-03-19,15:11:14,1710861074035,4810000.0,0.00477944,5156000.0,-346000.0,BID,17108610740350001
KRW-ETH,2024-03-19,15:11:14,1710861074035,4809000.0,0.05387188,5156000.0,-347000.0,BID,17108610740350000
KRW-ETH,2024-03-19,15:11:13,1710861073913,4807000.0,0.02080299,5156000.0,-349000.0,ASK,17108610739130002
KRW-ETH,2024-03-19,15:11:13,1710861073913,4807000.0,0.01664239,5156000.0,-349000.0,ASK,17108610739130001
KRW-ETH,2024-03-19,15:11:13,1710861073913,4807000.0,3.17477372,5156000.0,-349000.0,ASK,17108610739130000
KRW-ETH,2024-03-19,15:11:13,1710861073890,4810000.0,0.02927385,5156000.0,-346000.0,BID,17108610738900001
KRW-ETH,2024-03-19,15:11:13,1710861073890,4809000.0,0.00431404,5156000.0,-347000.0,BID,17108610738900000
KRW-ETH,2024-03-19,15:11:13,1710861073440,4807000.0,0.04463488,5156000.0,-349000.0,ASK,17108610734400000
KRW-ETH,2024-03-19,15:11:13,1710861073078,4808000.0,0.0013,5156000.0,-348000.0,ASK,17108610730780002
KRW-ETH,2024-03-19,15:11:13,1710861073078,4808000.0,1.03993344,5156000.0,-348000.0,ASK,17108610730780001
KRW-ETH,2024-03-19,15:11:13,1710861073078,4808000.0,0.20110222,5156000.0,-348000.0,ASK,17108610730780000
KRW-ETH,2024-03-19,15:11:12,1710861072722,4810000.0,0.09688559,5156000.0,-346000.0,BID,17108610727220000
KRW-ETH,2024-03-19,15:11:12,1710861072713,4808000.0,0.07717689,5156000.0,-348000.0,ASK,17108610727130006
KRW-ETH,2024-03-19,15:11:12,1710861072713,4808000.0,0.00104097,5156000.0,-348000.0,ASK,17108610727130005
KRW-ETH,2024-03-19,15:11:12,1710861072713,4808000.0,0.25084254,5156000.0,-348000.0,ASK,17108610727130004
KRW-ETH,2024-03-19,15:11:12,1710861072713,4808000.0,0.0062396,5156000.0,-348000.0,ASK,17108610727130003
KRW-ETH,2024-03-19,15:11:12,1710861072713,4809000.0,0.0124358,5156000.0,-347000.0,ASK,17108610727130002
KRW-ETH,2024-03-19,15:11:12,1710861072713,4809000.0,0.01039717,5156000.0,-347000.0,ASK,17108610727130001
KRW-ETH,2024-03-19,15:11:12,1710861072713,4809000.0,0.00624349,5156000.0,-347000.0,ASK,17108610727130000
KRW-ETH,2024-03-19,15:11:12,1710861072467,4810000.0,8.5e-07,5156000.0,-346000.0,ASK,17108610724670000
KRW-ETH,2024-03-19,15:11:12,1710861072424,4810000.0,5.68130735,5156000.0,-346000.0,ASK,17108610724240005
